paper_id,comment,analyst,sentiment
2795,"This manuscript was submitted as 'full paper' and should be reviewed along the usual dimensions for research contributions which include (1) originality, (2) significance of the results, and (3) quality of writing. Please also assess the data file provided by the authors under “Long-term stable URL for resources”. In particular, assess (A) whether the data file is well organized and in particular contains a README file which makes it easy for you to assess the data, (B) whether the provided resources appear to be complete for replication of experiments, and if not, why, (C) whether the chosen repository, if it is not GitHub, Figshare or Zenodo, is appropriate for long-term repository discoverability, and (4) whether the provided data artifacts are complete. Please refer to the <a href=""/swj/reviewers"" target=""_blank"">reviewer instructions</a> and the <a href=""/swj/faq"" target=""_blank"">FAQ</a> for further information.

The authors present a compact, focused experiment on applying ShEx validation to libraries' datasets to foster data re-use, with four exemplifying use cases on datasets provided by three individual libraries (and one non-library data). The presented methodology is quite straightforward application of ShEx. From purely technological perspective, the originality and significance of the contribution is not particularly high, but especially for researchers and practitioners working with (linked) data in GLAM institutions the paper would be relevant.

Compared to the previous version of the paper: the authors have made improvements on the paper, extending it sufficiently on sections that needed further discussion. The comments I made in my previous review have been addressed sufficiently. The quality of the writing is good.

The data file provided by the authors under “Long-term stable URL for resources” (A) is well organized and contains a README file, (B) appears to be complete for replication of experiments (based on the README file, file listing, and looking at couple of individual data files), (C) is stored on Zenodo, and (4) appears to provide complete data artifacts (based on the README file, file listing, and looking at couple of individual data files).

I have one comment:

- Page 14 ""Regarding the NLF dataset, a common problem is related with the property rdf:langString used for language-tagged string values that are validated against xsd:string"" - In such cases, why did you constrain the property value's datatype to ""xsd:string"" - instead of ""LITERAL"" (https://shex.io/shex-semantics/index.html#shexc) in the ShEx definition? For example, concerning NLF dataset's class Person, you have constrained the property schema:name's value to xsd:string (https://github.com/hibernator11/ShEx-DLs/blob/1.1/nlf/nlf-person.shex#L12). In the NLF data model the range of schema:name is defined as ""Literal"" (https://www.kiwi.fi/display/Datacatalog/Fennica+RDF+data+model), and in the schema.org vocabulary the range of schema:name is defined loosely: ""schema:name schema:rangeIncludes schema:Text"" (https://schema.org/version/latest/schemaorg-current-https.ttl). I would suggest loosening the constraint.

Minor remarks:

- Page 14: ""Table 6 provides an overview of the data quality evaluation. All the assessed repositories obtained a high score, notably the BNB and the BnF."" - Based on Table 6, NLF obtained as high score (mconRelat) as BnF. Mention NLF as well?

- Page 14: ""Regarding the NLF dataset, a common problem is related with the property rdf:langString used for language-tagged string values that are validated against xsd:string"" - rdf:langString is not a property, but a datatype.","gpt-4o-2024-11-20, Jon Wasky",'slightly positive'
2801,"This is the second revision of the article “Urban IoT Ontologies for Sharing and Electric Mobility”. 

The paper describes a modular suite of ontologies representing data gathered from Urban IoT devices used in urban mobility, finally producing a conceptual model to harmonize data exchanges between municipalities and service providers, with a specific focus on sharing and electric mobility domains. The paper also describes the methodology followed for the development of the ontology and contains a set of examples and references to additional materials to better understand installation, queries, and evaluation of the model.

In the previous revision I emphasized the clarity of the exposition, and the relevance of the covered topics. In fact, no major changes to the structure of the paper were required, since it was already well organized. As far as the writing is concerned, therefore, authors basically corrected the typos and missing references that had been highlighted in the review. 
However, in my previous review, I underlined some shortcomings in the section of result evaluation dealing with Completeness. The authors have now added  the file CompetencyQuestion_Completeness.xlsx to the repository, including numerous Competency Question examples on most of the classes of the ontology. This is indeed a useful tool to test the Completeness of the model, therefore my only advice is to replace the full file with a link to a google sheet in read-only mode. I suggest this because from git hub it is not possible to view an xlsx file directly, unless you install git hub desktop: you can only download the excel locally, which may not be the ideal solution for users and information security. 
As for the long-term stable URL for resources, these are all organized in the git hub repository, introduced by a bilingual read_me. Moreover, the subfolders contain read_me description in English and/or properly commented code. The contents of each file are clear and consistent with the descriptions. I give a more than positive assessment to the material provided, and the same suggestion made for the  CompetencyQuestion_Completeness.xlsx file applies to all the other xlsx files. 
This new paper also complies with all my other suggestions.

In conclusion, my final recommendation is to accept the paper. Indeed, such an example of integration of ontologies and the use of existing vocabularies meets the needs of the users it refers to and clearly describes the context of reference, resulting in a good quality and relevance model. Moreover, its modularity also allows for future extension. 
Therefore, although its originality is not extraordinary, I appreciate not only the effort at the technical level, but also the detail and care in organizing heterogeneous data in the repository, and in explaining the problems and challenges faced and the results obtained. In fact, the work is complete and well documented.

","gpt-4o-2024-11-20, Jon Wasky",extremely positive
2804,"Prediction of Adverse Biological Effects of
Chemicals Using Knowledge Graph Embeddings

(1) originality:
This manuscript provides details of the improvements built upon authors’ previous publications on a knowledge graph in Ecotoxicology domain.

The paper starts with explanation of ecotoxicology definition, and its importance. Challenges of datasets related to the field are listed as interoperability from various data sources.
Knowledge graphs(rdf) and semantic web technologies are suggested as a solution of orchestration of these datasets.
For the sake of completeness the manuscript provides details. On the other hand, this makes following the paper difficult, especially in the methods part. The general quality of the manuscript is appropriate.
Main contribution of the work is investigation of KG embedding methods and adding new datasets to previously published KG.  The overall quality is acceptable.

(2) significance of the results,
The manuscript provides appropriate details on KG embeddings on proposed KG. The details of the results are enough.

(3) quality of writing:

The manuscript is acceptable in terms of writing quality.

Contributions of the work:
1. Consolidation of relevant information to ecotoxicology domain as knowledge graph. Integration includes tabular data, ref files, sparql queries over public linked datasets such as Wikidata and log map.
Biological :Ecotox, 1M experiments, 12K chemicals, and 13kK species.
Chemical : Ecotox,Wikidata pubchem, chembl mesh,
Taxonomy : Ecotox, NCBI
Species Traits Enc. of Life,

2. Implemented a prediction model using MLP (multi)and KG embedding models are presented.

3. Manuscript investigates prediction performance of various embeddings namely
Decomposition Models : dismay, complEx, Hole
Geometic Models: TransE, RotatE, pRotatE, HAKE
Convolutional Models: Cons KB, ConvE.

","gpt-4o-2024-11-20, Jon Wasky",'neutral'
2816,"The manuscript “LegalNERo: A linked corpus for named entity recognition in the Romanian legal domain” is a data description paper. It describes the LegalNERo dataset, which is a manually annotated corpus for named entity recognition in the Romanian legal domain. The dataset is made available through Zenodo and also through a SPARQL endpoint hosted on a server of the research centre in which the dataset was developed. The dataset itself is available in a number of different formats including BRAT, RDF Turtle and CoNLL-U Plus.

The paper follows the typical structure of a dataset paper (Introduction, Related Work, Annotation Process, Corpus Description, Using the RDF Version, Corpus Usage, Conclusions). All in all, the descriptions are sufficient to enable re-use and adaptation of the dataset. 

There are, however, a number of issues with this data description paper. 

First and foremost, surprisingly, while the title of the paper implies a certain relationship to the legal domain, neither the paper nor the dataset specifically tackles any aspects related to NER in the legal domain except for adding one additional entity category to the typical person, organisation, location structure and that’s “legal resources” or “legal document references”. In the Related Work section the authors do cite and acknowledge the many different types of entities that are specific to the legal domain but they decided not to introduce any of these specific types or categories themselves (except, as mentioned, “legal document references”). This decision needs to be explained and motivated since the paper and especially the dataset claim a certain focus on the legal domain, which does not exist except for the documents used, which are indeed from the legal domain. The size of the dataset is rather small (370 documents with 265k tokens, 8k sentences and a total of 54k annotated tokens).

In various parts of the paper “time” is mentioned as an entity type. Time expressions are simply time expressions. As explicit time expressions can be recognised easily with a number of regular expressions (like currency expressions), they are often used/implemented in NER tools but it’s simply incorrect to call time expressions “named entities”.

Some additional comments:

Page 1, line 27: suggest to change “international project” to “EU project”.

Page 1, line 29: please explain “comparable” in the context of this paper (or delete it)

Page 1, line 30: “7 languages” should be written as “seven languages”. There are other sentences in which one-figure numbers are written as actual numbers – these should all be changed into the corresponding words (see, among others, page 2, lines 10 and 20).

Page 1, lines 38/39: “All these annotations were realised using automatic processes.” My understanding of the paper is that all annotations were performed by human annotators. 

Page 1, 2, lines 45 ff.: The relevance of this paragraph in Section 1 is unclear. It should probably be moved into Section 2.

Page 2, lines 21 ff.: Section 2 is missing in the summary paragraph.

Page 2, line 23 ff.: Please include a link to the annotation guidelines or include the annotation guidelines in the dataset on Zenodo.

Page 3, lines 1/2: I don’t understand why hiding certain information about the annotation process helps with the computation of the inter-annotator agreement.

Page 3, lines 15 and 32: It’s “Cohen’s Kappa” (not Coehn’s Kappa)

Page 3, line 17: The Cohen’s Kappa of 0.87 is surprisingly low given that the annotation task is so simple. The revised metric (0.89) is still low so where exactly are the actual disagreements?

Page 6: In Section 6 the development of various NER models is mentioned but the evaluation of these models is missing.

Finally, the paper is in need of a thorough round of revisions, there are many typos, missing words etc.","gpt-4o-2024-11-20, Jon Wasky",slightly negative
2816,"This manuscript was submitted as 'Data Description' and should be reviewed along the following dimensions: Linked Dataset Descriptions - short papers (typically up to 10 pages) containing a concise description of a Linked Dataset. The paper shall describe in concise and clear terms key characteristics of the dataset as a guide to its usage for various (possibly unforeseen) purposes. In particular, such a paper shall typically give information, amongst others, on the following aspects of the dataset: name, URL, version date and number, licensing, availability, etc.; topic coverage, source for the data, purpose and method of creation and maintenance, reported usage etc.; metrics and statistics on external and internal connectivity, use of established vocabularies (e.g., RDF, OWL, SKOS, FOAF), language expressivity, growth; examples and critical discussion of typical knowledge modeling patterns used; known shortcomings of the dataset. Papers will be evaluated along the following dimensions: (1) Quality and stability of the dataset - evidence must be provided. (2) Usefulness of the dataset, which should be shown by corresponding third-party uses - evidence must be provided. (3) Clarity and completeness of the descriptions. Papers should usually be written by people involved in the generation or maintenance of the dataset, or with the consent of these people. We strongly encourage authors of dataset description paper to provide details about the used vocabularies; ideally using the 5 star rating provided here <http://www.semantic-web-journal.net/content/five-stars-linked-data-vocabulary-use>. Please also assess the data file provided by the authors under “Long-term stable URL for resources”. In particular, assess (A) whether the data file is well organized and in particular contains a README file which makes it easy for you to assess the data, (B) whether the provided resources appear to be complete for replication of experiments, and if not, why, (C) whether the chosen repository, if it is not GitHub, Figshare or Zenodo, is appropriate for long-term repository discoverability, and (4) whether the provided data artifacts are complete. Please refer to the <a href=""/reviewers"" target=""_blank"">reviewer instructions</a> and the <a href=""/faq"" target=""_blank"">FAQ</a> for further information.



Summary:
The paper presents a manually annotated corpus LegalNERo for named entity recognition in the Romanian Legal domain. The authors considered classical entity types such as the organizations, persons, locations, time expressions together with legal references to the documents such as laws, government decisions, orders, etc. The corpus consisting of 370 documents are manually annotated by 5 human annotators. Each annotator was assigned 100 documents, out of which 30 documents were shared with two other annotators. Inter-Annotator Agreement (IAA) between each pair of annotator has been calculated using Coehn’s Kappa measure. The corpus is made available as raw text, span-based annotations, token-based annotations, and linked data RDF. 
The idea of NER in the legal domain is interesting, however, there are certain concerns:

1. The paper lacks a running example which reduces the readability and understandability of the proposed work. I would recommend the authors provide an excerpt from the original document and show the annotated named entities in the text. (Probably, with the corresponding English translation of the sentences and the annotated named entities because the original documents are in Romanian).
2. The same example or a different example should be used to explain the span-based and token-based annotations.
3. Since, the authors provide the raw corpus as well it would be recommended to have a comparison of the accuracy, precision and recall measure of the annotations using the existing NER tools. This would further help to motivate the need for manual annotation of Legal corpus.
4. The RDF linked data needs further explanation along with Fig 1. The domain and range of the RDF schema are not explained. Also, the different classes are not explained well. For e.g., what does powla: Node denote? Give an example which also would explain its properties hasParent, next, etc. Therefore, I would highly recommend adding a section in the paper explaining each class, the properties and hierarchy of the classes. Furthermore, the SPARQL endpoint link provided in the webpage doesn’t work, however, the link with the example SPARQL queries work. The authors might need to cross-check that.
5. However, the end goal of having the data in form of Linked Data is missing. How this data can be used? What kind of interesting insights can we get from the data. The SPARQL queries provided are basic ones and it fails to give any insights into the data.


","gpt-4o-2024-11-20, Jon Wasky",slightly negative
2819,"In this paper, authors introduce a novel approach which encompasses the aspect of interoperability to quality assessment of RDF data by identifying eleven interoperability dimensions by aligning a list of standardized dimensions regarding data quality to the “I” principles out of other FAIR data principles.

 

Authors also presented a tool by claiming its benefit for successfully identifying interoperability problems and could provide suggestions for resolving them.

 

It is a well written article and easy to read but following few points can be considered:

 

·      There is no discussion around the validation and evaluation of the approach. It would be great to see the precision and recall of the defined approach especially in terms of complexity analysis and accuracy of the approach as the size of the data grows i.e larger datasets.

 

·      As a proof of concept authors performed the quality assessment on a registry dataset about Addison’s disease and two synthetic datasets respectively about personal information and diagnosis from the European Joint Programme on Rare Disease (EJP RD). Addison's dataset was converted from a synthetic tabular dataset to an RDF dataset claiming the conversion scenario as typical/ useful for quality assessment.

Typically, in most of the cases converting relational databases/ tabular databases to RDF requires a good amount of domain knowledge especially when it comes to medical/ biomedical data sources. Considering the inherent feedback mechanism from domain experts during the conversion process the quality assessment and the results may differ on a case to case basis.

How realistic would it be to comment on the quality dimension based on metrics defined in this paper at the generalised level i.e, on other RDF datasets. Would the same approach, dimensions and metrics work for any RDF resource?

Nevertheless, it would be great to see results in real world settings (on existing RDF data sources) irrespective of domain, complexity, size and coverage in order to consider the quality metrics defined in this paper for interoperability dimensions.

 

·      Most of the data sources are dynamic in nature these days. Does any of the quality metrics defined for interoperability dimension consider the assessment for such scenarios?  

 

·    Twenty-nine failure types were defined in the Interoperability Failure Case (IFC) vocabulary which seems comprehensive but it is not explicitly clear if IFC is one of the contributions by authors or the re-use of existing vocab named “IFC”.

 

·      Would be good to see the false positive results while considering the failure matches based on the defined technique. Any analysis based on computed results would be great to see.

 

·      Some of the possible future directions are highlighted in the last paragraph of section 5 and would be good to present them as separate sections/ subsections for better visibility.

 

·      Clear statements regarding the limitation for the approach, data used and the developed tool should also be highlighted.","gpt-4o-2024-11-20, Jon Wasky",neutral
2819,"This paper present an approach to quantify interoperability of datasets using metrics that relate to existing frameworks, notably FAIR and related quality measurement (and representation initiative).

The approach is interesting. In particular the authors do a good deal of relation to existing work, making their proposal a nice fit into a series of other proposals. 

However I am convinced that the work is not yet mature enough for a journal publication, especially SWJ.

First, as a general comment, I must say that I do not buy entirely the parlance in the introduction about the ""fitness for use"" vs ""fitness for exchange"". In the end a lot of the interoperability metrics proposed in table 3 are about general data issues, sometimes very low level (like misused types, or existence of contradictions), so it's hard to identify whether interoperability is something really specific. From the paper it seems that every quality dimension can contribute to interoperability, going beyond what is in scope for I1, I2, I3. This is perhaps true, but then it makes the ground of the paper (especially table 1) a bit shaky. I guess here it is the 'dissection' of 3.3 that would need more substance in the paper.

In a similar line of work of the authors' work is not easily accessible/visible. Where are ""The dimensions were represented in RDF"" (in 3.3)? Is it in section 4.1? Maybe, but then I do not see the point in making such a separation in the paper. The generic title of section 4 ('overview of the approach') doesn't help. In fact the paper is apparently not really consistently written, in the sense that it announce (relevant) pieces of work in some parts but they are hard to identify in others. For example section 3 announced that some metrics were re-used from Zaveri, and DQM, but this is not visible later, e.g., in table 3.

Then it is a bit frustrating to find that this variety of dimensions is not proven by implementation work. Notably, dimensions that are notoriously hard to assess (semantic accuracy and trustworthiness) are not implemented in the current state. Readers should see more evidence that these areas can indeed be implemented to prove the author's inclusion of them in their framework.

More worrying is the lack of large scale experiment on real data. It is good that the authors apply their approach on three datasets. But only one is real. I am not sure why a journal paper should have only one real application, especially when it seems quite easy to apply the developed framework to other real dataset. 

Finally, the resources built around the papers are full of RDF issues that indicate lack of maturity and review. Things that may not be formal errors, but that will not help the readers see the proposal in a good light. Basically things that would make the proposal more interoperable!
Notably it would be really good if the authors could follow consistently good practices for naming classes (starting with upper case) and instances (with lower case). In the IFC vocabulary, ifc:failureCase is a lower-cased class and all its instances are upper-cased - well, one is not (ifc:mailformedLiterals, by the way there's quite a typo here!) which looks even more odd. 
Giving a good thought about these conventions would perhaps help avoid issues with the use of classes instead of instances. Especially, in IQM, all metrics are formally defined as classes, which is not in line with DQV. I.e. iqm:objectiveMetric a dqv:Metric
is a correct statement, making iqm:objectiveMetric an instance. 
But then 
dqm:MisplacedClassesOrPropertiesMetric rdfs:subClass iqm:objectiveMetric
renders both dqm:MisplacedClassesOrPropertiesMetric and iqm:objectiveMetric to be RDFS classes, which is not in line with DQV, and actually does not make much sense in general.
Plus, this file does not use the right RDFS property (it is rdfs:subPropertyOf).
In the same line, dqv:isMeasuredOf is not a DQV property (https://github.com/sxzhang1201/Interoperable-Supportive-Tool/blob/main/shex/report.shex)
and in the IFC file (https://github.com/sxzhang1201/Interoperable-Supportive-Tool/blob/main/vocab/interoperability-failure-case.ttl)
The title of the vocabulary is ""Interoperable Failure Case"" not ""Interoperabality Failure Case"" as it should be.
I also do not get why ""interpretions"" in table 2 are expressed with dct:description in IKP, skos:definition in IQD and rdfs:comment in IQM. Interoperability would probably require using one property here. Or deviations should be explained.
It could be that there are other technical problems. Frankly I have stopped checking at this stage, because I feel that this is work that the authors should do. Or reviewers of a smaller chunks of the authors' work that would be submitted to workshops or conferences, allowing the whole framework to mature at a more regular rhythm!


Minor comments:
- in 3.1 the paper hints that the notions of quality dimensions and metrics originate in Zaveri et al, but these have been also formalized in the daQ work (Debattista et al), which I think predates it.
- ""materials"" is a strange title for 3.2
- 3.1 could be presented before the related work.
- in 3.2 I am not sure it's right to call LDQ the ""linked data version of DQV"". Granted, it introduces some linked data quality aspects, but a lot of its contribution regards assessment processes which are not specifically LD-specific
- I do not understand how RDFS can be used for ""representing annotations"" in 3.4. RDFS is very generic...
- I do not understand the real value of using ShEx in 3.6. It looks like the authors use it to control the data that makes a report. But because the authors control the way the report are generated, I don't see how the report data could fail to meet their expectations.
- in 37 one of the 'synthetic' is written 'synetic'","gpt-4o-2024-11-20, Jon Wasky",'slightly negative'
2830,"This is the first revision of the manuscript I am reviewing.  Therefore, I am judging only the manuscript itself, not the comments on the revision.

This manuscript presents COBRA, an approach for storing RDF archives in a way that supports several versioned query patterns (introduced in Section 2.1).  The authors' previous OSTRICH implemented, which already serves the same purpose, is extended from unidirectional delta chains to bidirectional ones in an attempt to reduce both storage size and ingestion time.  This is measured in a number of evaluations using the BEAR benchmark.  The hypothesis cannot be confirmed universally, but in a majority of situations.

Section 1 briefly introduces the problem.  Section 2 introduces the basics of versioned queries, different storage strategies and discusses related work.  Related approaches are classified w.r.t. storage strategy.  Section 3 states the problem and phrases the research hypotheses.  Section 4 introduces the bidirectional delta chain approach, for the case of subsequently ingesting additional versions during the lifetime of a dataset, and for the case of ingesting all past versions of a dataset at once, the latter of which can be performed out of order.  Section 5 presents the results of evaluating OSTRICH and COBRA in different BEAR settings.  Section 6 draws conclusions, also providing concise guidance w.r.t. what storage approach to employ in what practical setting.  The implementation is open source and accompanied with everything needed to reproduce the experiments.  At least it seems so – I did not try.  Just the creation of the BEAR input datasets is not exactly reproduceable, as the evaluation scripts assume that the respective data already exists on a server donizetti.labnet.

The following aspects need improvement  (cf. the annotated PDF at https://www.dropbox.com/s/bs96w03ab2ikiu2/swj2830.pdf?dl=0 for details):
* Algorithm 2 is introduced as showing the fix-up algorithm.  However, that's actually what Algorithm 1 shows.  
* Algorithm 2 is said to assume that n is even, but the shown implementation, which uses Math.floor, does not.
* There are multiple references to the OSTRICH article [5].  These references would be easier to use if they pointed to specific individual sections of that article.
* In Section 4.6.2, the text about delta materialization says that ""the results from the two queries are sorted"".  Why are they sorted, and by what? Do you mean that the (unsorted) results of the first query come first, and then the (once more unsorted) results of the second query?
* In Section 4.6.3, Version queries are defined as ""results being annotated with the version in which they occur"".  However, is the version always unique?  (That's what this phrasing seems to assume.)
* The setting shown in Subfigure 2.2 does not involve bidirectionality.
* In Section 5.2, why do you restrict your scope to ""at most two delta chains""?  In other words, does this not mean that you assume that the threshold for a chain that's ""too long"" is ""(number of versions) / 2""? Would your approach not perform even better with more delta chains?
* In Section 5.3.1, what do you mean by ""ingesting a raw representation""?
* Regarding Figure 3: Before reading your reminder about the reverse order of ingestion on the next page, it's hard to understand that we have a zero value in the middle. You could facilitate understanding by showing an arrow that indicates the order of ingestion.
* clarity of phrasing (cf. PDF annotations and comments)
* multiple minor linguistic issues (cf. PDF)","gpt-4o-2024-11-20, Jon Wasky",neutral
2832,"The application report systematizes the findings from more almost two decades of research on the Sampo portals, which focus on the domains of cultural heritage (CH) and the digital humanities (DH). As the main conceptual contribution, the author proposes (1) a set of design principles for semantic portals and (2) a description of three technology generations. The article also provides an excellent entry point to the literature on the Sampo portals. 

The article extends a short paper published in the DH Nordic conference proceedings. There is little overlap with this prior publication, however. Both texts present an overview of selected Sampo projects, but the article covers more projects and gives additional technical details. More importantly, the discussion of the design principles does not appear in the short paper. The submitted article is also sufficiently independent from other publications on the Sampo model to justify its publication.

As an application report, the submission is not typical since it describes several related semantic portals instead of a single system. This raises the question of the common technological ground of the portals, which the article addresses convincingly by formulating the Sampo design principles. The author mentions that the Sampo model “has evolved gradually over time” but does not not discuss how the principles evolved over time. Nevertheless, it seems possible to extract a timeline by combining the information given in section 3 on individual projects with the dates from table 2. 

P1 (= data linking) in 2004, MuseumFinland
P2 (= shared ontologies) and P4 (= multiple perspectives) in 2008, CultureSampo 
P6 (= separation of data services and UI) in 2015, WarSampo 
P5 (= faceted search) and P3 (= knowledge discovery) in 2019 BiographySampo

I am not sure whether this timeline is correct. In any case, it would be interesting for the reader to learn in which order the principles have been adopted and how the principles map onto the three technology generations of semantic portals. P1 and P2 are general principles implemented by virtually all LOD projects – not just the Sampo portals. That makes them candidates for first generation systems (data aggregation and exploration). In contrast, P3 is the principle introduced most recently and least explored in the Sampo portal series. P3 also marks ""the next step ahead"" in research, that is, the third generation of semantic portals (knowledge discovery and AI). If such a correspondence between the principles and the technology generations exists, the article should describe it. Optionally, the principles could be renumbered to reflect their chronological position. The current P3 would become the new P6, for instance. 

While this is my main observation, there are minor points that would profit from further clarification.

(1) The author mentions related design principles such as FAIR, but I missed a discussion of the nature of this relation. This is especially relevant with respect to the four LD principles and the 5 star principles. Are P1 and P2 equivalent to the four LD principles? Where exactly do the Sampo principles go beyond the LD or 5 star principles? The four LD principles refer to specific technologies whereas the Sampo principles are stated in technology agnostic form. Do the Sampo principles intend to cover non-RDF knowledge graph technologies as well?

(2) The Sampo model has been designed for CH and DH applications. It is yet difficult to see how the principles reflect that origin. I asked myself whether different principles would have emerged from a series of projects focusing on, say, genetic epidemiology. To put it differently: what in the Sampo model is specific to the way humanity scholars collect, systematize and analyze historical sources? The article should mention if the design principles of the Sampo model address research challenges in the humanities.

(3) With 20 years of operation, the Sampo series of semantic portals provides a unique opportunity to study issues of LD preservation. Have there been lessons learned beyond the fact that data needs to curation? What are the challenges (and costs) of maintenance of the portals? 
The application report is well structured, points to the relevant references and gives an adequate discussion of related work. The author clearly succeeds in demonstrating impact, which is a central requirement for systems described in a SWJ application report. There are few LD systems in the domains of CH and DH that have attracted a larger user base over such a long period than the Sampo portals.

In summary, I believe that all points raised can addressed by minor revisions.


Open Science Data

The SemanticComputing Github provides the long-term stable link to the resources. Some of the projects mentioned in table 2 do not appear in this Github, however. In addition, an access link is missing to some of the semantic portals or the link given in the footnote is defective. This should be resolved before publication. 

Not in the SemanticComputing Github
MuseumFinland, CultureSampo, BookSampo, Norssit Alumni, Mapping Manuscript Migrations

no link given
Norssit Alumni, U.S. Legislator Proso[po]grapher

404 error
WarVictimSampo (footnote 28), AcademySampo (footnote 31)


Typos

Please, check carefully for spelling errors, as the following list is incomplete.

page 1, line 23, abstract : War[V]ictimSampo
page 2, line 41: infra[structure]
page 4, line 35 : m[o]del
page 7, line 14, table 2 : Proso[po]grapher

","gpt-4o-2024-11-20, Jon Wasky",'slightly positive'
2833,"Despite the consideration made by the authors in the cover letter, this paper must be reviewed as ""Tools and Systems Report"". The paper is far from a full research paper and does not add relevant scientific contributions to the Semantic Web field; instead, it uses existing tools to create an event-based knowledge graph.

The topic addressed in the paper is very relevant, timely and well- introduced and motivated, inspiring its reading. On the other hand, the related work section is long, does not explain the paper's contributions in relation to the state-of-the-art and is difficult to follow.

The authors mention ""first step for building a knowledge graph was to decide the source of the documents, since there are important differences among jurisdictions, even when they share the language"". A suggestion to improve readability is to provide an example. I can only guess what the differences are.

The authors also mention ""From the analysis performed in the EventsMatter corpus, we can confirm the importance of the sections in identifying which events are relevant and which are not"". It would be better if the authors would let the readers 'confirm' by providing in-depth analysis and supporting data. The figures presented do not seem enough to confirm the importance of the sections rather than the frequency of facts.

The authors also mention that the ""Structure Extractor is currently able to handle the structure of the ECHR and ECJ documents, but in such a way that a new document type can be easily added"". Looking at the code and the lack of documentation/comments, it does not seem trivial to change a single line in the code provided. Paths are hard-coded, filenames are hard-coded and no design pattern was found to handle the extensibility claimed in this paragraph. An example is the method ""parseAndTag"". In general, section 3 is confusing and terms are mentioned without a proper introduction. For example, the authors say the EventsMatter corpus and only in a subsection it is 'properly' explained (same for the FrameNet). Section 3 requires restructuring. As mentioned before, a running example would help the authors to explain the process.

The presented ontology is also not well-explained. For example, the class ""ComposedTemporalExpression"" can be represented in other ontologies. Simplification can lead to other issues. Again, examples would allow readers to see the 'importance' of such class. 

The remaining sections suffer from similar issues.

Another main concern about the paper is the evaluation of the tool. The authors did not provide any evaluation/experiments—a critical point for a tool.

As previously mentioned, the code is available but not easy to run,  lacks documentation and coding standards are non-existent (https://www.oracle.com/java/technologies/javase/codeconventions-contents.html).

","gpt-4o-2024-11-20, Jon Wasky",'slightly negative'
